#separator: tab
#html:true
ウェイ	way
乗り換える | の, か	to transfer (trains); to change (bus, train), to change one's mind; to move on to (e.g. a new love interest); to change methods; to change one's way of thinking
阻む | はば	to keep someone from doing; to stop; to prevent; to check; to hinder; to obstruct; to oppose; to thwart
末期 | まっき	closing years (period, days); last stage; end stage; end-of-life (care, decision making, etc.), terminal (e.g. cancer, disease, etc.); final
セメント	cement
編む | あ	to knit; to plait; to braid, to compile (anthology, dictionary, etc.); to edit
発送 | はっそう	sending; forwarding; shipping
苦心 | くしん	pain; trouble; anxiety; diligence; hard work
文脈 | ぶんみゃく	context
後継 | こうけい	succession, successor
べし	shall; should; must
何気ない | なにげ	casual; unconcerned; nonchalant
ウイルス	virus, viral
車椅子 | くるまいす	wheelchair; folding push-chair
人造 | じんぞう	man-made; synthetic; artificial
るい	base; bag; sack, fortress; stronghold
一歩 | いっぽ	(a) step, level; stage
好評 | こうひょう	popularity; favorable reputation; favourable reputation
連載 | れんさい	serialization; serialisation; serial story
出来上がる | できあ	to be completed; to be finished; to be ready (e.g. to serve or eat), to be very drunk
製薬 | せいやく	medicine manufacture; drug manufacture
暴露 | ばくろ	disclosure; exposure; revelation
日陰 | ひかげ	shade; shadow, sunshine
転用 | てんよう	diversion; putting something to another use
擁護 | ようご	protection; advocacy; support; defence; championship; vindication, to protect (e.g. rights, etc.); to advocate (e.g. free trade, etc.); to support
具 | ぐ	tool; means; ingredients, counter for armor (armour), suits, sets of furniture
原発 | げんぱつ	nuclear power plant; nuclear power generation, primary (e.g. primary immunodeficiency syndrome)
こ	arc
寿司 | すし	sushi; anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies)
力 | ちから	force; strength; might; vigour (vigor); energy, capability; ability; proficiency; capacity; faculty
鉢 | はち	bowl; pot; basin, flowerpot
純情 | じゅんじょう	pure heart; naivete; self-sacrificing devotion
主観 | しゅかん	subjectivity; subject (philosophical); ego, one's personal opinion; one's own idea
転居 | てんきょ	moving; changing residence
将 | しょう	commander; general; leader
人文 | じんぶん	humanity; civilization; civilisation; culture; humanism
水害 | すいがい	water damage; flood disaster
退屈 | たいくつ	tedium; boredom
にて	in; on; at (place); as for; regarding (formal literary form of で)
言い訳 | い, わけ	excuse, explanation
綿 | わた	cotton plant (Gossypium spp.), batting; wadding; padding
図表 | ずひょう	chart; diagram; graph; figure
十分 | じっぷん	10 minutes
足首 | あしくび	ankle
早 | はや	already; now; by this time
室町 | むろまち	Muromachi (era 1392-1573, or 1333-1573, or 1336-1573)
新春 | しんしゅん	New Year (Spring)
アルミ	aluminum (Al); aluminium
無知 | むち	ignorance; innocence; stupidity
令 | れい	command; order; dictation
挿入 | そうにゅう	insertion; incorporation; infixing
上部 | じょうぶ	top part; surface
味わい | あじ	flavour; flavor, meaning; significance
憎しみ | にく	hatred
素質 | そしつ	character; qualities; genius; the makings of
遥か | はる	far; far away; distant; remote; far off
眺める | なが	to view; to gaze at
かる	to cut (hair); to mow (grass); to harvest; to clip; to shear; to reap; to trim; to prune
参入 | さんにゅう	entering (the marketplace); introducing (something) to the market; access, visiting a high-class or noble individual
舞 | まい	dancing; dance
悪質 | あくしつ	bad quality; malignancy; vicious; malignant
実在 | じつざい	reality; existence
みじゅく	inexperience; unripeness; raw; unskilled; immature; inexperienced
しょとくぜい	income tax
在庫 | ざいこ	inventory; stock; stockpile
見地 | けんち	point of view
積もる | つ	to pile up; to accumulate, to estimate
引っ越し | ひ, こ	moving (dwelling, office, etc.); changing residence
日夜 | にちや	day and night; always
参戦 | さんせん	participation in a war; going to war, taking part in a competition or contest
馬場 | ばば	horse-riding ground
乗り | の	riding; ride, spread (of paints)
蝶 | ちょう	butterfly
拡充 | かくじゅう	expansion
変遷 | へんせん	change; transition; vicissitudes
万が一 | まん, いち	if by any chance; just in case; in the worst case; in the unlikely event that; 10000 to 1
医院 | いいん	doctor's office (surgery); clinic; dispensary
じかん	vice-minister; undersecretary
良 | りょう	good, B grade (in an A, B, C ... system)
四角 | しかく	square
到来 | とうらい	arrival; coming (e.g. something awaited); advent
抽象 | ちゅうしょう	abstract
幕府 | ばくふ	bakufu; shogunate
生き | い	living; being alive, freshness; liveliness; vitality
薄暗い | うすぐら	dim; gloomy
戦時 | せんじ	war time
下地 | したじ	groundwork; foundation, inclination; aptitude; elementary knowledge of; grounding in
イベント	event
ファン	fan, fun
食らう | く	to eat; to drink, to receive (e.g. a blow)
放射 | ほうしゃ	radiation; emission
わざわざ	expressly; specially; doing something especially rather than incidentally
幻 | まぼろし	phantom; vision; illusion; dream; apparition
花粉 | かふん	pollen
ふるほん	secondhand book, ancient book; antiquarian books
北海道 | ほっかいどう	Hokkaido (island, prefectural-level administrative unit)
長 | ちょう	head; chief; leader; elder, merit; strong point
神父 | しんぷ	Catholic priest; abbe; reverend father; minister; padre
連ねる | つら	to line up; to put in a row, to add (to a group); to accept (as a member of an organization, etc.); to join (e.g. a list)
餅 | もち	sticky rice cake
賃貸 | ちんたい	lease; rent; hire
磁気 | じき	magnetism
ボート	boat; rowing boat
感触 | かんしょく	feel (i.e. tactile sensation); touch; feeling; sensation; texture (e.g. food, cloth)
過ち | あやま	fault; error; indiscretion; faux pas
採集 | さいしゅう	collecting; gathering
同市 | どうし	same city
小島 | こじま	small island; islet
特売 | とくばい	special sale
日曜日 | にちようび	Sunday
スポーツ	sport; sports
先進 | せんしん	seniority; advance; leadership
公営 | こうえい	public management
慢性 | まんせい	chronicity; chronic
おい	nephew
談話 | だんわ	a talk; conversation
ぐるり	surroundings; circumference
送り | おく	seeing off; sending off, funeral
ニュース	news
救い | すく	help; aid; relief; (religious) salvation; (Christian) grace; providence
暗記 | あんき	memorization; memorisation; learning by heart
費やす | つい	to spend; to expend; to consume, to waste; to squander; to throw away
等級 | とうきゅう	grade; class; degree; rank; rating; order; points, magnitude
紐 | ひも	string; cord, man who is financially dependent on a woman (such as a gigolo or, in the case of a prostitute, a pimp); pimp
日の丸 | ひ, まる	outline of the sun (esp. represented as a red circle), the Japanese flag
内外 | ないがい	inside and outside; domestic and foreign; approximately; interior and exterior
常務 | じょうむ	managing director; executive director, routine business; regular business
温帯 | おんたい	temperate zone
下部 | かぶ	lower part; substructure, subordinate (office); good and faithful servant
遠足 | えんそく	excursion; outing; trip
準決勝 | じゅんけっしょう	semifinal
習得 | しゅうとく	learning; acquisition
処刑 | しょけい	execution
作詞 | さくし	(writing) song lyrics
おとなしい	obedient; docile; quiet
だが	but; however; (and) yet; nevertheless; still; for all that
新車 | しんしゃ	new car
特異 | とくい	unique; singular
どうぞ	please; kindly; I beg of you, by all means; feel free; you are welcome
流出 | りゅうしゅつ	discharge; outward flow; efflux; effluence; haemorrhage; hemorrhage; bleeding (e.g. ink into paper), leak of (private) information or pictures
国宝 | こくほう	national treasure
未遂 | みすい	attempt (e.g. at crime)
残留 | ざんりゅう	residual; residue, stay behind; stay back
聴覚 | ちょうかく	the sense of hearing
物件 | ぶっけん	article; thing; object; property (real estate)
合戦 | かっせん	battle; fight; fighting; engagement; contest
部員 | ぶいん	staff; member (club, society, etc.)
怪獣 | かいじゅう	monster
学位 | がくい	(university) degree; (academic) degree
ばら	rose
手のひら | て	palm (of one's hand)
博 | はく	doctor; PhD, exposition; fair; exhibition
日に日に | ひ, ひ	day by day; by the day, daily; every day
いけない	wrong; not good; of no use, hopeless; past hope
マーク	mark; symbol; insignia; logo, paying attention to; focusing on; watching; guarding
これから	after this
目次 | もくじ	table of contents
つか	mound; heap; hillock, burial mound; tomb; tumulus; barrow
得る | う	to be able to ...; can ..., to get; to acquire; to obtain; to procure; to earn; to win; to gain; to secure; to attain
北側 | きたがわ	north side; north bank
目玉 | めだま	eyeball, special feature; centerpiece; showpiece; drawcard
商工 | しょうこう	commerce and industry
ジュース	juice, soft drink (any (sweet) non-alcoholic beverage, carbonated or uncarbonated)
